max_depth, n_estimators, accuracy
77, 500, 0.9332067590658818
77, 600, 0.9340801215112966
77, 700, 0.9340801215112966
77, 800, 0.9336434402885893
77, 900, 0.9332067590658818
78, 100, 0.9301537877349535
78, 200, 0.931892918169736
78, 300, 0.9327700778431744
78, 400, 0.932333396620467
78, 500, 0.9332067590658818
78, 600, 0.9340801215112966
78, 700, 0.9340801215112966
78, 800, 0.9336434402885893
78, 900, 0.9332067590658818
79, 100, 0.9301537877349535
79, 200, 0.931892918169736
79, 300, 0.9327700778431744
79, 400, 0.932333396620467
79, 500, 0.9332067590658818
79, 600, 0.9340801215112966
79, 700, 0.9340801215112966
79, 800, 0.9336434402885893
79, 900, 0.9332067590658818
80, 100, 0.9301537877349535
80, 200, 0.931892918169736
80, 300, 0.9327700778431744
80, 400, 0.932333396620467
80, 500, 0.9332067590658818
80, 600, 0.9340801215112966
80, 700, 0.9340801215112966
80, 800, 0.9336434402885893
80, 900, 0.9332067590658818
81, 100, 0.9301537877349535
81, 200, 0.931892918169736
81, 300, 0.9327700778431744
81, 400, 0.932333396620467
81, 500, 0.9332067590658818
81, 600, 0.9340801215112966
81, 700, 0.9340801215112966
81, 800, 0.9336434402885893
81, 900, 0.9332067590658818
82, 100, 0.9301537877349535
82, 200, 0.931892918169736
82, 300, 0.9327700778431744
82, 400, 0.932333396620467
82, 500, 0.9332067590658818
82, 600, 0.9340801215112966
82, 700, 0.9340801215112966
82, 800, 0.9336434402885893
82, 900, 0.9332067590658818
83, 100, 0.9301537877349535
83, 200, 0.931892918169736
83, 300, 0.9327700778431744
83, 400, 0.932333396620467
83, 500, 0.9332067590658818
83, 600, 0.9340801215112966
83, 700, 0.9340801215112966
83, 800, 0.9336434402885893
83, 900, 0.9332067590658818
84, 100, 0.9301537877349535
84, 200, 0.931892918169736
84, 300, 0.9327700778431744
84, 400, 0.932333396620467
84, 500, 0.9332067590658818
84, 600, 0.9340801215112966
84, 700, 0.9340801215112966
84, 800, 0.9336434402885893
84, 900, 0.9332067590658818
85, 100, 0.9301537877349535
85, 200, 0.931892918169736
85, 300, 0.9327700778431744
85, 400, 0.932333396620467
85, 500, 0.9332067590658818
85, 600, 0.9340801215112966
85, 700, 0.9340801215112966
85, 800, 0.9336434402885893
85, 900, 0.9332067590658818
86, 100, 0.9301537877349535
86, 200, 0.931892918169736
86, 300, 0.9327700778431744
86, 400, 0.932333396620467
86, 500, 0.9332067590658818
86, 600, 0.9340801215112966
86, 700, 0.9340801215112966
86, 800, 0.9336434402885893
86, 900, 0.9332067590658818
87, 100, 0.9301537877349535
87, 200, 0.931892918169736
87, 300, 0.9327700778431744
87, 400, 0.932333396620467
87, 500, 0.9332067590658818
87, 600, 0.9340801215112966
87, 700, 0.9340801215112966
87, 800, 0.9336434402885893
87, 900, 0.9332067590658818
88, 100, 0.9301537877349535
88, 200, 0.931892918169736
88, 300, 0.9327700778431744
88, 400, 0.932333396620467
88, 500, 0.9332067590658818
88, 600, 0.9340801215112966
88, 700, 0.9340801215112966
88, 800, 0.9336434402885893
88, 900, 0.9332067590658818
89, 100, 0.9301537877349535
89, 200, 0.931892918169736
89, 300, 0.9327700778431744
89, 400, 0.932333396620467
89, 500, 0.9332067590658818
89, 600, 0.9340801215112966
89, 700, 0.9340801215112966
89, 800, 0.9336434402885893
89, 900, 0.9332067590658818
90, 100, 0.9301537877349535
90, 200, 0.931892918169736
90, 300, 0.9327700778431744
90, 400, 0.932333396620467
90, 500, 0.9332067590658818
90, 600, 0.9340801215112966
90, 700, 0.9340801215112966
90, 800, 0.9336434402885893
90, 900, 0.9332067590658818
91, 100, 0.9301537877349535
91, 200, 0.931892918169736
91, 300, 0.9327700778431744
91, 400, 0.932333396620467
91, 500, 0.9332067590658818
91, 600, 0.9340801215112966
91, 700, 0.9340801215112966
91, 800, 0.9336434402885893
91, 900, 0.9332067590658818
92, 100, 0.9301537877349535
92, 200, 0.931892918169736
92, 300, 0.9327700778431744
92, 400, 0.932333396620467
92, 500, 0.9332067590658818
92, 600, 0.9340801215112966
92, 700, 0.9340801215112966
92, 800, 0.9336434402885893
92, 900, 0.9332067590658818
93, 100, 0.9301537877349535
93, 200, 0.931892918169736
93, 300, 0.9327700778431744
93, 400, 0.932333396620467
93, 500, 0.9332067590658818
93, 600, 0.9340801215112966
93, 700, 0.9340801215112966
93, 800, 0.9336434402885893
93, 900, 0.9332067590658818
94, 100, 0.9301537877349535
94, 200, 0.931892918169736
94, 300, 0.9327700778431744
94, 400, 0.932333396620467
94, 500, 0.9332067590658818
94, 600, 0.9340801215112966
94, 700, 0.9340801215112966
94, 800, 0.9336434402885893
94, 900, 0.9332067590658818
95, 100, 0.9301537877349535
95, 200, 0.931892918169736
95, 300, 0.9327700778431744
95, 400, 0.932333396620467
95, 500, 0.9332067590658818
95, 600, 0.9340801215112966
95, 700, 0.9340801215112966
95, 800, 0.9336434402885893
95, 900, 0.9332067590658818
96, 100, 0.9301537877349535
96, 200, 0.931892918169736
96, 300, 0.9327700778431744
96, 400, 0.932333396620467
96, 500, 0.9332067590658818
96, 600, 0.9340801215112966
96, 700, 0.9340801215112966
96, 800, 0.9336434402885893
96, 900, 0.9332067590658818
97, 100, 0.9301537877349535
97, 200, 0.931892918169736
97, 300, 0.9327700778431744
97, 400, 0.932333396620467
97, 500, 0.9332067590658818
97, 600, 0.9340801215112966
97, 700, 0.9340801215112966
97, 800, 0.9336434402885893
97, 900, 0.9332067590658818
98, 100, 0.9301537877349535
98, 200, 0.931892918169736
98, 300, 0.9327700778431744
98, 400, 0.932333396620467
98, 500, 0.9332067590658818
98, 600, 0.9340801215112966
98, 700, 0.9340801215112966
98, 800, 0.9336434402885893
98, 900, 0.9332067590658818
99, 100, 0.9301537877349535
99, 200, 0.931892918169736
99, 300, 0.9327700778431744
99, 400, 0.932333396620467
99, 500, 0.9332067590658818
99, 600, 0.9340801215112966
99, 700, 0.9340801215112966
99, 800, 0.9336434402885893
99, 900, 0.9332067590658818
100, 100, 0.9301537877349535
100, 200, 0.931892918169736
100, 300, 0.9327700778431744
100, 400, 0.932333396620467
100, 500, 0.9332067590658818
100, 600, 0.9340801215112966
100, 700, 0.9340801215112966
100, 800, 0.9336434402885893
100, 900, 0.9332067590658818

Best value of max_depth: 22
Best value of n_estimators: 300
Best accuracy score: 0.9353920637934307
